Model,Noise Level,RMSE Mean,RMSE Std,MAE Mean,MAE Std
GP-Linear,0.0,0.3554070585013542,1.935241221148766e-05,0.3460327058465921,1.973212701520253e-05
GP-Linear,0.05,0.33022845605355544,0.06735739672944147,0.31971516386099985,0.06993815167764476
GP-Linear,0.1,0.30083040745741096,0.0808816742749018,0.2883039887215407,0.08502878738126997
GP-Linear,0.15,0.2908862850546418,0.10268035005592668,0.27726461356094456,0.10834190398153323
GP-Linear,0.2,0.26795564417212514,0.10705124348366382,0.25467029027328325,0.10875176152824018
DNN,0.0,0.6782663222664155,0.1382519272267372,0.6712537737280279,0.14132369932560623
DNN,0.05,0.603526078259877,0.09561349450369251,0.5904520006567389,0.09620905099030784
DNN,0.1,0.8241739685191686,0.04958922742402917,0.8145872087866216,0.04906000445790162
DNN,0.15,0.6577840019716659,0.12770425392084772,0.6466196031958014,0.13438315798785844
DNN,0.2,0.6492992608496265,0.12564540359758805,0.6384397478491216,0.1275094198186802
KAN,0.0,0.3277066557724527,0.20448872749810768,0.2895904527617191,0.19907889429998077
KAN,0.05,0.4974974189937217,0.15591620861722483,0.45115966550000053,0.16843355673725757
KAN,0.1,0.4979073012982097,0.2753068094446814,0.46610011807568413,0.28175072726792866
KAN,0.15,0.45142645508362433,0.1529431137753977,0.4201217626679693,0.15971730626864822
KAN,0.2,0.44724202793745826,0.17813866712438703,0.4043874719448247,0.1705263836571852
Hybrid,0.0,0.48016641376677816,0.054717725259225115,0.46225719169677787,0.06656814604612554
Hybrid,0.05,0.4797096571472035,0.07977932080524773,0.4707347841650396,0.08402874475809849
Hybrid,0.1,0.47136370597491595,0.050650762188277666,0.4652347536474615,0.0530689656996942
Hybrid,0.15,0.586720834958801,0.13689745124806443,0.5771163912207037,0.14194918542262092
Hybrid,0.2,0.5385612814873009,0.046447912196110976,0.5310522051245122,0.04801407690476847
